Feature,Importance
update_frequency,0.10643500127169116
wifi_security,0.09747739044858188
remote_access,0.08844526744898103
mfa_enabled,0.08323778168022432
password_strength,0.07834067984276107
latest_firmware,0.07785431889336053
password_changed,0.07264778238850837
data_encryption,0.06767799682344593
communication_encryption,0.05732084527099412
device_type,0.05402399304548802
manufacturer_reputation,0.05018567044201643
unused_services_disabled,0.037889452514740095
guest_network,0.036058656844639214
permission_review,0.03259270810039166
data_minimization,0.031679064934781766
security_logs,0.028133390049394424
